Gen	np	tree	tau_4L_tuulukwa_CA_Trinity_AlpsL_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	tau_5L_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	lnL
2110	2	11	0.000739	0.000271	-10854.832
2120	2	11	0.000471	0.000098	-10844.290
2130	2	11	0.000487	0.000142	-10841.290
2140	2	11	0.000527	0.000155	-10841.376
2150	2	11	0.000704	0.000269	-10847.119
2160	2	11	0.000567	0.000201	-10842.107
2170	2	11	0.000642	0.000112	-10842.687
2180	2	11	0.000678	0.000169	-10839.895
2190	2	11	0.000460	0.000114	-10838.120
2200	2	11	0.000519	0.000081	-10839.321
2210	2	11	0.000454	0.000196	-10844.288
2220	2	11	0.000574	0.000256	-10846.969
2230	2	11	0.000642	0.000260	-10844.304
2240	2	11	0.000477	0.000224	-10837.283
2250	2	11	0.000521	0.000240	-10847.539
2260	2	11	0.000542	0.000177	-10839.432
2270	2	11	0.000627	0.000322	-10840.793
2280	2	11	0.000588	0.000440	-10845.124
2290	2	11	0.000712	0.000554	-10845.175
2300	2	11	0.000529	0.000368	-10845.144
2310	2	11	0.000403	0.000236	-10847.998
2320	2	11	0.000361	0.000287	-10841.613
2330	2	11	0.000507	0.000225	-10846.280
2340	2	11	0.000419	0.000221	-10844.608
2350	2	11	0.000381	0.000201	-10843.225
2360	2	11	0.000516	0.000273	-10845.056
2370	2	11	0.000516	0.000356	-10851.150
2380	2	11	0.000704	0.000239	-10846.857
2390	2	11	0.000727	0.000269	-10843.489
2400	2	11	0.000692	0.000204	-10843.847
2410	2	11	0.000646	0.000185	-10850.259
2420	2	11	0.000635	0.000398	-10846.067
2430	2	11	0.000637	0.000391	-10841.082
2440	2	11	0.000714	0.000368	-10849.948
2450	2	11	0.000516	0.000211	-10845.354
2460	2	11	0.000852	0.000339	-10841.512
2470	2	11	0.000622	0.000400	-10841.445
2480	2	11	0.000588	0.000476	-10847.386
2490	2	11	0.000623	0.000362	-10846.365
2500	2	11	0.000686	0.000262	-10842.271
2510	2	11	0.000651	0.000263	-10846.187
2520	2	11	0.000613	0.000414	-10846.419
2530	2	11	0.000656	0.000394	-10846.162
2540	2	11	0.000569	0.000355	-10838.281
2550	2	11	0.000443	0.000222	-10844.291
2560	2	11	0.000504	0.000366	-10845.561
2570	2	11	0.000527	0.000403	-10846.688
2580	2	11	0.000515	0.000307	-10842.200
2590	2	11	0.000647	0.000552	-10847.016
2600	2	11	0.000583	0.000296	-10843.541
2610	2	11	0.000450	0.000257	-10841.758
2620	2	11	0.000780	0.000282	-10843.219
2630	2	11	0.000601	0.000141	-10841.907
2640	2	11	0.000568	0.000333	-10851.708
2650	2	11	0.000562	0.000195	-10850.211
2660	2	11	0.000615	0.000187	-10838.635
2670	2	11	0.000648	0.000256	-10845.573
2680	2	11	0.000412	0.000287	-10844.844
2690	2	11	0.000631	0.000342	-10847.031
2700	2	11	0.000723	0.000339	-10850.039
2710	2	11	0.000809	0.000293	-10842.817
2720	2	11	0.000608	0.000248	-10843.017
2730	2	11	0.000751	0.000312	-10849.924
2740	2	11	0.000762	0.000262	-10842.558
2750	2	11	0.000542	0.000384	-10838.317
2760	2	11	0.000544	0.000272	-10839.715
2770	2	11	0.000544	0.000281	-10841.625
2780	2	11	0.000739	0.000503	-10841.148
2790	2	11	0.000643	0.000488	-10843.359
2800	2	11	0.000445	0.000360	-10840.157
2810	2	11	0.000387	0.000319	-10841.451
2820	2	11	0.000614	0.000586	-10850.385
2830	2	11	0.000487	0.000321	-10844.819
2840	2	11	0.000651	0.000371	-10842.538
2850	2	11	0.000616	0.000387	-10846.667
2860	2	11	0.000442	0.000234	-10849.225
2870	2	11	0.000463	0.000282	-10841.862
2880	2	11	0.000363	0.000147	-10839.398
2890	2	11	0.000427	0.000147	-10839.278
2900	2	11	0.000532	0.000241	-10845.863
2910	2	11	0.000635	0.000127	-10844.786
2920	2	11	0.000592	0.000143	-10835.889
2930	2	11	0.000681	0.000101	-10839.671
2940	2	11	0.000618	0.000173	-10849.919
2950	2	11	0.000749	0.000221	-10843.973
2960	2	11	0.000672	0.000233	-10843.794
2970	2	11	0.000611	0.000233	-10843.439
2980	2	11	0.000770	0.000462	-10845.361
2990	2	11	0.000669	0.000403	-10850.788
3000	2	11	0.000615	0.000388	-10851.186
3010	2	11	0.000479	0.000331	-10837.293
3020	2	11	0.000594	0.000413	-10843.090
3030	2	11	0.000489	0.000354	-10852.701
3040	2	11	0.000497	0.000334	-10841.864
3050	2	11	0.000543	0.000394	-10844.901
3060	2	11	0.000468	0.000199	-10846.169
3070	2	11	0.000739	0.000304	-10845.571
3080	2	11	0.000535	0.000416	-10848.781
3090	2	11	0.000614	0.000364	-10845.816
3100	2	11	0.000798	0.000429	-10842.552
3110	2	11	0.000662	0.000364	-10845.440
3120	2	11	0.000514	0.000337	-10840.853
3130	2	11	0.000806	0.000482	-10841.580
3140	2	11	0.000717	0.000258	-10843.365
3150	2	11	0.000625	0.000175	-10839.982
3160	2	11	0.000678	0.000235	-10838.305
3170	2	11	0.000700	0.000328	-10844.266
3180	2	11	0.000757	0.000475	-10841.479
3190	2	11	0.000672	0.000457	-10840.700
3200	2	11	0.001017	0.000537	-10847.385
3210	2	11	0.000618	0.000365	-10840.370
3220	2	11	0.000848	0.000495	-10842.800
3230	2	11	0.000888	0.000501	-10841.964
3240	2	11	0.001030	0.000514	-10848.462
3250	2	11	0.000671	0.000340	-10836.961
3260	2	11	0.000611	0.000307	-10841.717
3270	2	11	0.000628	0.000404	-10845.166
3280	2	11	0.000642	0.000211	-10845.157
3290	2	11	0.000570	0.000318	-10840.134
3300	2	11	0.000479	0.000178	-10838.488
3310	2	11	0.000467	0.000179	-10847.887
3320	2	11	0.000375	0.000240	-10848.637
3330	2	11	0.000483	0.000263	-10842.415
3340	2	11	0.000623	0.000227	-10838.452
3350	2	11	0.000520	0.000304	-10846.778
3360	2	11	0.000370	0.000157	-10843.093
3370	2	11	0.000506	0.000113	-10844.251
3380	2	11	0.000606	0.000231	-10844.510
3390	2	11	0.000503	0.000224	-10850.921
3400	2	11	0.000534	0.000238	-10848.690
3410	2	11	0.000485	0.000137	-10840.206
3420	2	11	0.000628	0.000209	-10840.472
3430	2	11	0.000762	0.000212	-10841.131
3440	2	11	0.000727	0.000242	-10845.341
3450	2	11	0.000777	0.000246	-10849.701
3460	2	11	0.000844	0.000172	-10846.881
3470	2	11	0.000782	0.000312	-10849.808
3480	2	11	0.000753	0.000184	-10847.369
3490	2	11	0.000767	0.000196	-10841.153
3500	2	11	0.000806	0.000206	-10837.555
3510	2	11	0.000619	0.000153	-10842.743
3520	2	11	0.000581	0.000207	-10847.512
3530	2	11	0.000515	0.000400	-10855.069
3540	2	11	0.000524	0.000293	-10845.892
3550	2	11	0.000466	0.000263	-10844.884
3560	2	11	0.000745	0.000292	-10857.737
3570	2	11	0.000573	0.000234	-10839.696
3580	2	11	0.000515	0.000230	-10847.525
3590	2	11	0.000578	0.000381	-10850.333
3600	2	11	0.000661	0.000260	-10842.772
3610	2	11	0.000797	0.000226	-10839.981
3620	2	11	0.000665	0.000297	-10837.976
3630	2	11	0.000780	0.000220	-10845.211
3640	2	11	0.000707	0.000494	-10841.904
3650	2	11	0.000933	0.000633	-10842.904
3660	2	11	0.000705	0.000334	-10840.477
3670	2	11	0.000595	0.000489	-10847.725
3680	2	11	0.000510	0.000362	-10848.624
3690	2	11	0.000447	0.000251	-10839.598
3700	2	11	0.000469	0.000379	-10840.316
3710	2	11	0.000717	0.000384	-10843.497
3720	2	11	0.000694	0.000451	-10843.086
3730	2	11	0.000511	0.000295	-10838.268
3740	2	11	0.000460	0.000230	-10842.291
3750	2	11	0.000437	0.000232	-10840.920
3760	2	11	0.000601	0.000305	-10850.388
3770	2	11	0.000682	0.000252	-10842.521
3780	2	11	0.000609	0.000281	-10845.005
3790	2	11	0.000499	0.000148	-10844.537
3800	2	11	0.000600	0.000225	-10838.805
3810	2	11	0.000560	0.000401	-10838.360
3820	2	11	0.000643	0.000311	-10843.898
3830	2	11	0.000701	0.000306	-10849.023
3840	2	11	0.000787	0.000439	-10843.314
3850	2	11	0.000698	0.000499	-10844.338
3860	2	11	0.000764	0.000524	-10845.637
3870	2	11	0.000687	0.000517	-10848.639
3880	2	11	0.000633	0.000268	-10846.498
3890	2	11	0.000740	0.000497	-10847.785
3900	2	11	0.000597	0.000348	-10844.356
3910	2	11	0.000622	0.000319	-10851.460
3920	2	11	0.000525	0.000269	-10845.646
3930	2	11	0.000505	0.000294	-10840.543
3940	2	11	0.000465	0.000198	-10842.722
3950	2	11	0.000405	0.000258	-10847.820
3960	2	11	0.000356	0.000261	-10843.075
3970	2	11	0.000352	0.000278	-10846.642
3980	2	11	0.000353	0.000256	-10842.500
3990	2	11	0.000359	0.000144	-10834.392
4000	2	11	0.000384	0.000275	-10849.133
4010	2	11	0.000381	0.000301	-10852.405
4020	2	11	0.000385	0.000154	-10840.210
4030	2	11	0.000377	0.000114	-10840.636
4040	2	11	0.000431	0.000197	-10848.499
4050	2	11	0.000303	0.000114	-10840.284
4060	2	11	0.000434	0.000155	-10840.862
4070	2	11	0.000396	0.000168	-10848.796
4080	2	11	0.000385	0.000302	-10850.686
4090	2	11	0.000586	0.000221	-10841.968
4100	2	11	0.000489	0.000325	-10839.985
4110	2	11	0.000475	0.000315	-10842.955
4120	2	11	0.000492	0.000262	-10840.503
4130	2	11	0.000420	0.000257	-10849.969
4140	2	11	0.000356	0.000268	-10842.140
4150	2	11	0.000384	0.000281	-10838.857
4160	2	11	0.000315	0.000140	-10838.476
4170	2	11	0.000396	0.000356	-10844.951
